,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month,Launch Mass Categories,Expected Lifetime Categories,Period Categories
171,2012-018A,Beidou 2-12 (Compass M3),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,773.19,8.0,2200.0,,,Xichang Satellite Launch Center,Long March 3B,2012,4,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
172,2012-018B,Beidou 2-13 (Compass M4),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,773.21,8.0,2200.0,,,Xichang Satellite Launch Center,Long March 3B,2012,4,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
179,2015-037A,Beidou 3M-1S,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2015,7,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
180,2015-037B,Beidou 3M-2S,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,773.3,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2015,7,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
181,2017-069A,Beidou 3M1,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2017,11,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
182,2019-061A,Beidou 3M1 (Beidou 23),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2019,9,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
183,2019-061B,Beidou 3M1 (Beidou 24),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2019,9,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
184,2017-069B,Beidou 3M1 (Beidou 25),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2017,11,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
185,2018-003A,Beidou DW 26,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,1,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
186,2018-003B,Beidou DW 27,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,1,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
187,2018-018A,Beidou DW 28,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,2,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
188,2018-018B,Beidou DW 29,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,2,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
189,2018-029A,Beidou DW 30,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,3,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
190,2018-029B,Beidou DW 31,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,3,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
192,2018-062A,Beidou DW 33,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,7,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
193,2018-062B,Beidou DW 34,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,7,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
194,2018-067A,Beidou DW 35,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,8,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
195,2018-067B,Beidou DW 36,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,8,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
196,2018-072A,Beidou DW 37,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,787.1,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,9,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
197,2018-072B,Beidou DW 38,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.1,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,9,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
198,2018-078A,Beidou DW 39,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,787.4,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,10,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
199,2018-078B,Beidou DW 40,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,787.4,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,10,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
201,2018-093A,Beidou DW 42,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,787.1,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,11,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
202,2018-093B,Beidou DW 43,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,787.1,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,11,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
207,2019-078A,Beidou DW 50,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,787.4,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2019,11,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
208,2019-078B,Beidou DW 51,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,787.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2019,11,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
209,2019-090A,Beidou DW 52,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,770.6,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2019,12,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
210,2019-090B,Beidou DW 53,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,785.35,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2019,12,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
957,2022-130A,"Glonass (Glonass-M, Cosmos 2559)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,676.2,7.0,1415.0,,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2022,10,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
958,2011-009A,"Glonass 701 (Glonass-K, Cosmos 2471)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.78,10.0,935.0,,1700,Plesetsk Cosmodrome,Soyuz-2,2011,2,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
959,2014-075A,"Glonass 702 (Glonass K, Cosmos 2501)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,676.15,10.0,935.0,,1700,Plesetsk Cosmodrome,Soyuz-2.1b,2014,12,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
960,2020-075A,"Glonass 705 (Glonass M, Cosmos 2547)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.5,7.0,1415.0,,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2020,10,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
961,2022-075A,"Glonass 706 (Glonass K, Cosmos 2557)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,676.15,10.0,974.0,,1700,Plesetsk Cosmodrome,Soyuz-2.1b,2022,7,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
962,2006-062A,"Glonass 716 (Glonass 35-2, Cosmos 2425)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.75,7.0,1480.0,,1600,Baikonur Cosmodrome,Proton K,2006,12,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
963,2006-062B,"Glonass 717 (Glonass 35-3, Cosmos 2426)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.75,7.0,1480.0,,1600,Baikonur Cosmodrome,Proton K,2006,12,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
964,2007-052B,"Glonass 719 (Glonass 36-2, Cosmos 2432)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.83,7.0,1480.0,,1600,Baikonur Cosmodrome,Proton K,2007,10,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
965,2007-052A,"Glonass 720 (Glonass 36-3, Cosmos 2433)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.67,7.0,1480.0,,1600,Baikonur Cosmodrome,Proton K,2007,10,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
966,2007-065A,"Glonass 721 (Glonass 37-1, Cosmos 2435)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,680.91,7.0,1480.0,,1600,Baikonur Cosmodrome,Proton M,2007,12,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
967,2007-065C,"Glonass 723 (Glonass 37-3, Cosmos 2436)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,680.75,7.0,1480.0,,1600,Baikonur Cosmodrome,Proton M,2007,12,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
968,2009-070A,"Glonass 730 (Glonass 41-1, Cosmos 2456)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,681.53,7.0,1415.0,,1000,Baikonur Cosmodrome,Proton M,2009,12,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
969,2010-007A,"Glonass 731 (Glonass 42-1, Cosmos 2459)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.85,7.0,1415.0,,1000,Baikonur Cosmodrome,Proton M,2010,3,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
970,2010-007C,"Glonass 732 (Glonass 42-3, Cosmos 2460)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.81,7.0,1415.0,,1000,Baikonur Cosmodrome,Proton M,2010,3,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
971,2009-070B,"Glonass 733 (Glonass 41-2, Cosmos 2457)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,670.47,7.0,1415.0,,1000,Baikonur Cosmodrome,Proton M,2009,12,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
972,2010-007B,"Glonass 735 (Glonass 42-2, Cosmos 2461)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.81,7.0,1415.0,,1000,Baikonur Cosmodrome,Proton M,2010,3,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
973,2010-041C,"Glonass 736 (Glonass 43-1, Cosmos 2464)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,671.2,7.0,1415.0,,1000,Baikonur Cosmodrome,Proton M,2010,9,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
974,2011-064A,"Glonass 743 (Glonass 44-2, Cosmos 2476)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,677.46,7.0,1415.0,,1000,Baikonur Cosmodrome,Proton M,2011,11,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
975,2011-064B,"Glonass 744 (Glonass 44-3, Cosmos 2477)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,677.5,7.0,1415.0,,1000,Baikonur Cosmodrome,Proton M,2011,11,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
976,2011-064C,"Glonass 745 (Glonass 44-1, Cosmos 2475)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,677.54,7.0,1415.0,,1000,Baikonur Cosmodrome,Proton M,2011,11,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
977,2013-019A,"Glonass 747 (Glonass-M, Cosmos 2485)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.73,7.0,1415.0,,1000,Plesetsk Cosmodrome,Soyuz-2,2013,4,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
978,2016-008A,"Glonass 751 (Glonass-M, Cosmos 2514)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.75,7.0,1415.0,,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2016,2,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
979,2017-055A,"Glonass 752 (Glomass-M, Cosmos 2522)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.75,7.0,1415.0,,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2017,9,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
980,2016-032A,"Glonass 753 (Glonass-M, Cosmos 2516)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.49,7.0,1415.0,,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2016,5,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
981,2014-032A,"Glonass 755 (Glonass-M, Cosmos 2500)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.73,7.0,1415.0,,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2014,6,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
982,2018-053A,"Glonass 756 (Glonass-M, Cosmos 2527)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,676.03,7.0,1415.0,,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2018,6,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
983,2018-086A,"Glonass 757 (Glonass-M, Cosmos 2529)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,767.2,7.0,1415.0,,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2018,11,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
984,2019-030A,"Glonass 758 (Glonass-M, Cosmos 2534)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,675.7,7.0,1415.0,,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2019,5,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
